Time,BP,MBP,HR,Event
359.916,69.31632,81.45312,420.5312,
359.917,69.09797,81.59375,420.4688,
359.918,68.87182,81.59375,420.5312,
359.919,68.53649,81.39844,420.4688,
359.92,68.24016,81.35938,420.5938,
359.921,68.14658,81.42969,420.4375,
359.922,67.95942,81.53906,420.5,
359.923,67.74107,81.55469,420.5312,
359.924,67.39794,81.35156,420.5625,
359.925,67.10941,81.32812,420.4375,
359.926,67.03143,81.39844,420.375,
359.927,66.83647,81.50781,420.4375,
359.928,66.64931,81.53125,420.4375,
359.929,66.29839,81.32031,420.375,
359.93,66.04884,81.28906,420.4375,
359.931,65.97086,81.34375,420.4688,
359.932,65.8071,81.46875,420.4375,
359.933,65.66673,81.48438,420.5,
359.934,65.42498,81.28906,420.5312,
359.935,65.3314,81.24219,420.4375,
359.936,65.53416,81.32031,420.4375,
359.937,65.7681,81.42188,420.4688,
359.938,66.2204,81.45312,420.5625,
359.939,66.7117,81.23438,420.4375,
359.94,67.46033,81.22656,420.4688,
359.941,68.65347,81.27344,420.4375,
359.942,69.87,81.39062,420.4062,
359.943,71.31268,81.41406,420.4375,
359.944,72.73197,81.20312,420.5312,
359.945,74.26823,81.20312,420.4688,
359.946,76.17881,81.27344,420.4062,
359.947,77.91783,81.36719,420.4688,
359.948,79.77382,81.39844,420.5,
359.949,81.48164,81.19531,420.375,
359.95,83.20506,81.1875,418.9375,
359.951,85.18582,81.25781,419.25,
359.952,86.92484,81.39062,422.6875,
359.953,88.68725,81.40625,422.3438,
359.954,90.25471,81.21875,422.625,
359.955,91.79877,81.20312,422.3125,
359.956,93.53778,81.28125,422.3438,
359.957,94.96487,81.39844,422.3125,
359.958,96.43095,81.45312,422.3125,
359.959,97.63188,81.25781,422.3125,
359.96,98.74703,81.25781,422.3125,
359.961,100.0415,81.32031,422.75,
359.962,101.0475,81.44531,422.1875,
359.963,102.0067,81.48438,422.625,
359.964,102.7398,81.29688,422.25,
359.965,103.3402,81.28906,422.5625,
359.966,104.1746,81.38281,422.3438,
359.967,104.6503,81.50781,422.375,
359.968,105.0948,81.53125,422.3125,
359.969,105.2976,81.35938,422.2812,
359.97,105.4068,81.34375,422.4062,
359.971,105.6797,81.44531,422.25,
359.972,105.6797,81.57031,422.7188,
359.973,105.6329,81.60938,422.2188,
359.974,105.36,81.40625,422.5625,
359.975,105.0169,81.42188,422.375,
359.976,104.8765,81.48438,422.4688,
359.977,104.4632,81.61719,422.2812,
